"","districts_included","cluster","map","value"
"153",99,"Mecklenburg","R_voteshare_amended",0.379
"154",100,"Mecklenburg","R_voteshare_amended",0.278
"155",101,"Mecklenburg","R_voteshare_amended",0.293
"156",102,"Mecklenburg","R_voteshare_amended",0.21
"157",103,"Mecklenburg","R_voteshare_amended",0.484
"158",104,"Mecklenburg","R_voteshare_amended",0.466
"159",105,"Mecklenburg","R_voteshare_amended",0.466
"160",106,"Mecklenburg","R_voteshare_amended",0.203
"161",107,"Mecklenburg","R_voteshare_amended",0.267
"162",108,"Cleveland-Gaston","R_voteshare_amended",0.621
"163",109,"Cleveland-Gaston","R_voteshare_amended",0.627
"164",110,"Cleveland-Gaston","R_voteshare_amended",0.691
"165",111,"Cleveland-Gaston","R_voteshare_amended",0.612
"166",114,"Buncombe","R_voteshare_amended",0.439
"167",115,"Buncombe","R_voteshare_amended",0.419
"168",116,"Buncombe","R_voteshare_amended",0.431
"169",4,"Duplin-Onslow","wins_basemap",0.635
"170",7,"Franklin-Nash","wins_basemap",0.578
"171",8,"Lenoir-Pitt","wins_basemap",0.609
"172",9,"Lenoir-Pitt","wins_basemap",0.515
"173",12,"Lenoir-Pitt","wins_basemap",0.541
"174",14,"Duplin-Onslow","wins_basemap",0.621
"175",15,"Duplin-Onslow","wins_basemap",0.682
"176",16,"Columbus-Pender-Robeson","wins_basemap",0.639
"177",17,"Brunswick-New Hanover","wins_basemap",0.635
"178",18,"Brunswick-New Hanover","wins_basemap",0.565
"179",19,"Brunswick-New Hanover","wins_basemap",0.599
"180",20,"Brunswick-New Hanover","wins_basemap",0.579
"181",25,"Franklin-Nash","wins_basemap",0.538
"182",42,"Cumberland","wins_basemap",0.643
"183",43,"Cumberland","wins_basemap",0.714
"184",44,"Cumberland","wins_basemap",0.51
"185",45,"Cumberland","wins_basemap",0.509
"186",46,"Columbus-Pender-Robeson","wins_basemap",0.542
"187",47,"Columbus-Pender-Robeson","wins_basemap",0.516
"188",55,"Anson-Union","wins_basemap",0.558
"189",58,"Guildford","wins_basemap",0.725
"190",59,"Guildford","wins_basemap",0.538
"191",60,"Guildford","wins_basemap",0.623
"192",63,"Alamance","wins_basemap",0.511
"193",64,"Alamance","wins_basemap",0.597
"194",67,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_basemap",0.757
"195",68,"Anson-Union","wins_basemap",0.645
"196",69,"Anson-Union","wins_basemap",0.645
